col3,col33,col47,col65,col109,col121,col177,col197,col217,col229,col245,col261,col285,col305,col317,col365,col385,col405,col425,col445,col473,col493,col617,col641,col661,col681,col701,col713,col741,col761,col833,col853,col873,col893,col913,col933,col953,col973,col993,col1013,col1025,col1077,col1105,col1149,col1181,col1189,col1193,col1209,col1253,col1289,col1309,col1330,col1341,col1349,col1353,col1357,col1361,col1369,col1373,col1389,col1409,col1429,col1682,col1708,col1807,col1822,col1977,col1999,col2049,col2052,col2071,col2143,col2199,col2273,col2295,col2345,col2348,col2543,col2575,col2590,col2591,col2663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6393292.48,12.0,156272.0,,1.5,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,51.6664,39.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,212637.0,,,34.84,1.95,8527501.44,5.0,212637.0,,32.72,7531742.0,192.0,192.0,8284916.0,0.2570165748042274
,,,,-3.0,,,,0.75,,0.3333333333333333,,,4.0,19.9,,21.0,3161652.0,19671040.0,1397.0,59.8983,30.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,212848.0,,,39.81,1.55,9587178.79,3.0,212848.0,,39.81,8315550.0,360.0,360.0,9147105.0,0.2576983466994116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4409879.07,11.0,148369.0,,30.09,3416000.0,84.0,84.0,4441000.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2052028.5,2.0,105000.0,,24.27,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14511979.96,11.5,227439.0,,2.0,11617000.0,300.0,300.0,12000000.0,0.2560610222605129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7630164.31,11.0,220814.0,,34.6,,,,,0.2565996261339365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5322265.2,6.0,209758.0,,26.47,3920000.0,,240.0,4312000.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3708657.41,,108300.0,,37.14,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3387281.76,24.0,87600.0,,42.03,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448558.0,13.0,207313.25,,26.33,9591003.32,,362.0,9591003.32,0.2574735476686629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564345.6,20.0,216855.0,,2.0,5330000.0,,242.0,5330000.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8084489.3,6.0,145232.0,,2.0,,,,,0.2581665753739357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5108218.84,10.0,222493.0,,38.3,,,,,0.2562613816564786
,,,,,,,,,,0.5,,,4.0,20.16,,26.5,3783976.5,32418400.0,6352.0,59.8983,37.6068,,,,,,,,,,,,,,,,,,,,,,,6.34,5.181999981403351,4.74,669194.8,0.0357142857142857,,,,,,,,,,,,,,,,,,8.0,151269.0,,2.0,45.52,1.99,7970564.54,8.0,151269.0,,2.0,6775538.0,360.0,360.0,6774000.0,0.258239748477008
,,,,,,,,,,,,,,,,,,,,61.2431,73.4139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,181223.0,,,38.54,0.9,6725641.43,13.0,181223.0,,38.54,,360.0,360.0,5780000.0,0.2551071103833721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348388.8,14.0,175675.0,,25.83,,,,,0.2634297521365618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,23.0,214460.0,,4.0,,,,,0.2605339674028874
,,,,,,,,,,,,,,,,,,,,55.7483,37.6171,,38300632.0,39000916.0,380722.0,112173.0,100.6,4.0,22.0,,,,,,,,,,,,26.6,4726347.676470588,0.0192307692307692,5.4,4.630434803340746,4.5,875849.5652173914,0.0555555555555555,,,,,,,,,,,,,,,,,,,,,,,,27582087.49,20.0,292395.0,,4.0,,,,,0.2572174233749946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4996874.61,7.0,142646.0,,35.53,4196874.0,,360.0,5455936.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3787050.21,8.0,161001.0,,25.01,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333405.9,6.0,151973.0,,22.0,1739000.0,120.0,120.0,1739000.0,0.2562613816564786
,,,0.1428571428571428,75.0,0.0526315789473684,,,,,0.1428571428571428,0.1428571428571428,3.4285714285714284,4.0,71.1,2.857142857142857,18.285714285714285,16331768.857142856,32887801.14285714,2064.0,55.7483,37.6171,0.1666666666666666,26424574.0,27124857.0,353739.5,121437.0,78.5,3.5,14.0,,,,30.0,,25607848.0,13607848.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,326405.0,,4.0,77.8,,20869302.15,14.0,326405.0,,4.0,17780000.0,360.0,360.0,17780000.0,0.3200798164512687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7745838.46,11.0,156476.0,,2.0,6592462.0,,120.0,6808079.0,0.2570165748042274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6719402.08,3.0,192834.0,,37.05,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,59.8983,30.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4403271.62,9.0,190358.0,,21.75,3516000.0,,360.0,4571000.0,0.2567636136834121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17567969.62,17.285714285714285,224324.1,,1.8571428571428568,,,,,0.2556113676384911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9291831.18,12.0,173741.0,,2.0,7126000.0,362.0,362.0,8426164.0,0.2635199497628909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7536461.39,8.0,106108.0,,3.0,,,,,0.256437301200215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3071160.0,3.083333333333333,99500.0,,35.92,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5591968.02,8.0,188277.0,,30.36,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5591968.02,8.0,188277.0,,30.36,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7864977.09,10.0,253684.06,,2.0,,,,,0.2697219875066544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6080221.84,8.0,267424.0,,23.99,5300000.0,270.0,270.0,5300000.0,0.257688171751113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9777118.41,8.5,165339.0,,2.0,9902100.0,362.0,362.0,9902100.0,0.2615879753766928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6592937.02,5.0,245352.0,,25.83,5102936.0,362.0,362.0,6633000.0,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4052843.1,10.0,174242.0,,22.73,2650000.0,108.0,108.0,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,188594.0,,,23.13,1.13,4352179.22,11.0,188594.0,,23.13,3000000.0,168.0,168.0,3000000.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056542.9,,156710.0,,33.63,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6344190.68,6.0,182767.0,,35.51,2560970.0,240.0,240.0,2560970.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6344190.68,6.0,182767.0,,35.51,2560970.0,240.0,240.0,2560970.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7724881.75,5.0,158713.0,,2.0,5000000.0,302.0,302.0,6500000.0,0.2572174233749946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5344674.6,6.0,149562.0,,36.91,4173000.0,,242.0,4173000.0,0.256437301200215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3640076.03,20.0,92835.4,,39.21,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3186227.6,6.0,156648.36,,20.34,,,,,0.2562613816564786
,,,,,,,,,,0.5,0.9,0.7,1.4,38.7,1.5,14.6,6061991.9,10615846.5,248.4,60.0722,30.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,193030.0,,,38.88,1.8,9048885.58,2.0,193030.0,,38.88,7701000.0,360.0,360.0,7701000.0,0.2715273584409416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8435083.7,13.0,150432.0,,2.0,5594703.0,362.0,362.0,6640000.0,0.2585078115133585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8697275.9,17.0,221394.0,,3.0,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4915283.09,11.0,146368.0,,33.65,3925000.0,180.0,180.0,3925000.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,221078.0,,2.0,41.55,,13772296.96,6.8,308160.0,,2.0,,,,,0.2572174233749946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10122959.0,31.0,131467.0,,3.0,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334,2143555.0,,,35.36,2.1,8960411.69,16.333333333333332,260726.0,,35.36,,,,,0.2596951680407721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4826862.3,11.0,146794.0,,32.95,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,54.0,10000000.0,10000000.0,,,,,,,10287625.11,11.0,159954.0,,2.0,7300000.0,240.0,240.0,7300000.0,0.2530169467321295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5076964.61,10.0,147128.0,,33.65,5000000.0,240.0,240.0,5000000.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4502115.25,14.0,200268.0,,22.18,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15229670.6,18.0,285607.0,,2.0,12945219.0,362.0,362.0,4002016.0,0.2560610222605129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,246751.0,,,34.84,2.1,7999364.35,13.0,246751.0,,34.84,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4902687.22,10.0,149870.0,,32.93,2925219.0,240.0,240.0,3000000.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15210670.86,5.0,399377.0,,1.3,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4072376.52,9.0,179201.0,,22.21,3000000.0,240.0,240.0,3000000.0,0.2596913727359405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6547873.0,10.0,258067.0,,25.0,5897872.0,360.0,360.0,1182835.0,0.2572174233749946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4589187.69,29.0,187289.0,,25.83,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4474984.98,6.0,169715.0,,26.09,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6557923.84,8.5,215100.0,,40.84,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6311791.16,26.0,189575.0,,34.72,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6778861.89,11.0,267677.0,,26.14,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8474442.61,2.0,138710.0,,2.0,9916025.0,362.0,362.0,7626918.0,0.2573476190144638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6426036.86,7.666666666666667,224598.0,,35.13,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10327612.57,29.0,159308.0,,2.0,7600000.0,240.0,240.0,10400000.0,0.2560610222605129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5395932.18,8.0,158489.0,,36.2,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5535274.59,16.0,179135.1,,30.9,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7265215.49,32.0,171067.0,,2.0,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16289718.83,17.0,222761.0,,2.5,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13632583.74,12.0,358283.0,,38.2,9300000.0,240.0,240.0,9300000.0,0.2560610222605129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4938819.57,7.0,160293.0,,34.6,,,,,0.2650229155203169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8897534.77,26.0,156246.0,,2.0,4600000.0,,180.0,4600000.0,0.256437301200215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14778995.74,15.0,295352.0,,2.0,,,,,0.2572174233749946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,9700000.0,9700000.0,,,,,,,11349468.04,11.0,180092.0,,2.0,8421408.0,242.0,242.0,10000000.0,0.2882442536892524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6343161.83,8.0,183654.0,,34.95,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5401987.3,6.4,170710.0,,31.25,3900000.0,300.0,300.0,4001987.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290972.66,8.0,176693.0,,2.0,11454622.0,362.0,362.0,11454622.0,0.2560610222605129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,213438.0,,2.0,55.04,1.99,11670301.93,24.0,213438.0,,2.0,,,,,0.2567267262022488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,213438.0,,2.0,55.04,1.99,11670301.93,24.0,213438.0,,2.0,,,,,0.2567267262022488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9882769.03,2.0,160002.0,,2.0,7914854.0,,240.0,7914854.0,0.2560610222605129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140877.97,12.0,188920.0,,21.43,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,59.8983,30.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,161437.0,,,38.23,1.42,7483067.58,2.0,161437.0,,38.23,6479380.0,342.0,342.0,6480000.0,0.2587483959502721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7824911.12,6.333333333333333,232170.0,,33.72,7904000.0,362.0,362.0,7904000.0,0.2567183659523679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9763216.44,5.0,185295.0,,2.0,6130000.0,240.0,240.0,7090000.0,0.2572174233749946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823491.35,11.0,156260.0,,2.0,,,,,0.2661036828501519
